source,metric,sector,vendor_pair,quissly_mean,other_mean,observed_diff,ci_low,ci_high,p_raw,p_holm_236,significant_236,n_queries,n_replicates,seed
corrected_ndcg,ndcg_at_10,cosmetics,quissly_vs_algolia,0.790738,0.531181,0.259557,0.206755,0.314111,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_10,electronics,quissly_vs_algolia,0.759951,0.464519,0.295432,0.240745,0.349464,0.000000,0.000000,True,178,10000,42
corrected_ndcg,ndcg_at_10,fast_fashion,quissly_vs_algolia,0.693549,0.398675,0.294874,0.232928,0.356507,0.000000,0.000000,True,174,10000,42
corrected_ndcg,ndcg_at_10,furniture,quissly_vs_algolia,0.768606,0.470572,0.298034,0.247250,0.350092,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_10,marketplace,quissly_vs_algolia,0.671329,0.321568,0.349761,0.289383,0.410365,0.000000,0.000000,True,154,10000,42
corrected_ndcg,ndcg_at_10,pharmacy,quissly_vs_algolia,0.667528,0.367368,0.300160,0.230817,0.366275,0.000000,0.000000,True,172,10000,42
corrected_ndcg,ndcg_at_10,pooled,quissly_vs_algolia,0.737846,0.440575,0.297271,0.275633,0.319217,0.000000,0.000000,True,1212,10000,42
corrected_ndcg,ndcg_at_10,auto,quissly_vs_clerk,0.800648,0.581069,0.219578,0.169822,0.269531,0.000000,0.000000,True,180,10000,42
corrected_ndcg,ndcg_at_10,cosmetics,quissly_vs_clerk,0.790738,0.582618,0.208120,0.165169,0.252497,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_10,electronics,quissly_vs_clerk,0.759951,0.491682,0.268269,0.216476,0.321110,0.000000,0.000000,True,178,10000,42
corrected_ndcg,ndcg_at_10,fast_fashion,quissly_vs_clerk,0.693549,0.436633,0.256916,0.198768,0.315851,0.000000,0.000000,True,174,10000,42
corrected_ndcg,ndcg_at_10,furniture,quissly_vs_clerk,0.768606,0.527331,0.241274,0.195617,0.289198,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_10,marketplace,quissly_vs_clerk,0.671329,0.379043,0.292286,0.226431,0.357333,0.000000,0.000000,True,154,10000,42
